"id","created_time","message","X"
"569628646748287_569648343412984","2018-02-13T11:43:18+0000","Well your chief executive should go. I wont be donating money to your charity again",-1
"569628646748287_569670880077397","2018-02-13T12:37:24+0000","really desperate now its 7 years on and this as just come to public domain you are a disgusting vile  company hope this is the end of this organisation as the saying goes ""you reap what you sow""",-1
"569628646748287_569679330076552","2018-02-13T12:56:04+0000","I believe",1
"569628646748287_569696490074836","2018-02-13T13:36:26+0000","So unbelievably sad that the enormous amount of good work carried out in desperately needy locations throughout the world by Oxfam over so many years has been destroyed by a minority.",-1
"569628646748287_569699000074585","2018-02-13T13:42:57+0000","Am from Kenya I would like to be a volunteer.",1
"569628646748287_569710280073457","2018-02-13T14:13:59+0000","Feeling bit cross as a customer and supporter of many charities to discover OXFAM have been behaving is such poor way on the ground for 7 years abroad and paying ridiculous wages to people in boardrooms I won't help them anymore.",-1
"569628646748287_569723373405481","2018-02-13T14:45:57+0000","The nepotismin nongovernment orgnization",-1
"569628646748287_569725663405252","2018-02-13T14:52:39+0000","If we  hear less  self righteous preaching from Oxfam's wannabe politicians in future that will be no bad thing",-1
"569628646748287_569733450071140","2018-02-13T15:10:47+0000","as a worker in NGOs (I worked with Oxfam) I think it is a big challenge to fight corruption and miss behaviour of people with power .. they are wise in the way they infringe everything and I am afraied that hidden truth is even worse .. in national context.. we accept to compromise because we do not have other solutions and yes .. the aid is important to us and we need it and we are not at the same power level .. we are in need. I hope this will not justify any how the miss use of any NGO. 
Senior managment need to be more on ground auditing and following up with what their expat staff are doing..",1
"569628646748287_569734206737731","2018-02-13T15:13:52+0000","Je veux être remboursé !",-1
"569628646748287_569735976737554","2018-02-13T15:20:36+0000","An odd statement...as you yourself were on the board when things were covered up...the gender make up of decision makers seems irrelevant. ..both men and women at oxfam are guilty of mismanagement...it is the quality of the managers that matters not their gender....as children 4 news illustrated last night the safeguarding manager was forced out for making the board aware of pedophiles operating in your shops ..maybe you, winnie need to take some personal responsibility here rather than changing the blame subject and pretending that it's all about how many women senior managers you have ...grow up!!!!",-1
"569628646748287_569753780069107","2018-02-13T16:09:51+0000","mmmmm how interesting that this old story that has been dealt with & procedures put in place should surface & be given massive publicity at the same time that the far right Jacob Rees Mogg & brexit chums are trying to stop the 0.7 % given in foreign aid ......... the total ""given"" is 32billion but only a very small amount is given to NGOs ............. compared to the church, BBC, hollywood parliament etc etc Oxfam's negligence seems very minor & pretty quickly dealt with !!!",1
"569628646748287_569763716734780","2018-02-13T16:39:30+0000","Devastating ! I unsubscribe !",-1
"569628646748287_569766716734480","2018-02-13T16:50:45+0000","Won't ever give a penny to your company again.",-1
"569628646748287_569769890067496","2018-02-13T17:01:04+0000","I’ve just cancelled our subscription but it’s so hard to know what charities to help as I think the fat cats are getting the lions share and very little is actually being spent on the right people",-1
"569628646748287_569774370067048","2018-02-13T17:15:53+0000","It's not uncommon that people join charitable organisations for career reasons without embodying the ethos. Especially men in leadership positions are prone to abuse their power. However, it is not exculsively a male phenomenon - abuse was also frequently committed by nuns in orphanages of the Catholic Church. Only safeguarding policies, internal and external control as well as strict transparency procedures help. Ethical organisations could also pay part of their salaries as conditional bonus or additional pension which is forfeited in case of certain unethical  behaviour. In case of criminal behaviour legal procedures and investigations should be actively supported.",1
"569628646748287_569775056733646","2018-02-13T17:17:49+0000","Please do.",1
"569628646748287_569789846732167","2018-02-13T18:04:40+0000","Marianne Bergeron (les commentaires sont intéressants)",1
"569628646748287_569798076731344","2018-02-13T18:34:49+0000","Well a good starting point in that culture change would be your resignation. As CEO you are the maximum authority and have all responsibility for what is happening at your organization. If you were not aware it is also your responsibility, so there is another reason for immediate resignation. I have stopped donating my money to your organization after more than 12 years doing it on a monthly basis.  Not in my name..!!",-1
"569628646748287_569798546731297","2018-02-13T18:36:47+0000","And what about this:

https://www.facebook.com/financialtimes/posts/10156105759330750",-1
"569628646748287_569801556730996","2018-02-13T18:44:18+0000","Lost my support, disgusting organisation who employ people who prey on victims who are already suffering and in need.",-1
"569628646748287_569805860063899","2018-02-13T18:50:46+0000","Believe so much in Oxfam mission and vision.",1
"569628646748287_569814120063073","2018-02-13T19:21:27+0000","Can’t believe they don’t check people when they have young adults working for them with special needs",-1
"569628646748287_569825346728617","2018-02-13T20:01:22+0000","Keep up your good and essential work Oxfam .sadly people are weak and they exist in  large organisations as the wider world  . You have said how you will strengthen safeguards. Some look for reasons to justify not giving to charities.  Including some in government .",1
"569628646748287_569839586727193","2018-02-13T20:43:16+0000","It’s time ALL so called aid agencies were shut down. All are corrupt in some way or other either fiscally or sexually. This is just the tip of the iceberg.",-1
"569628646748287_569844480060037","2018-02-13T20:59:37+0000","As with all charitable and religious organisations, they are run by humans. Fallible, mortal, capable of atrocious behaviour. It is what happens once this awful behaviour comes to light that should be judged. They seem to be genuinelyaling reparations.y heart goes out to those affected in the past. 
I will suspend judgement in the hope these new plans and her heartfelt words begin a new more positive chapter.",1
"569628646748287_569859046725247","2018-02-13T21:57:46+0000","Im sure more money go on advertising, wages, expense and political bias then actually help the needy",-1
"569628646748287_569860063391812","2018-02-13T22:01:48+0000","I believe in Oxfam",1
"569628646748287_569867050057780","2018-02-13T22:12:14+0000","Needs shutting down NOW ,, i would not give any money to OXFAM again its disgusting",-1
"569628646748287_569869566724195","2018-02-13T22:21:37+0000","The behaviour of some ex-Oxfam workers are absolutely unacceptable and those responsible must be held accountable, including some in the leadership. But this is a demolition job that is intense and relentless coming from the anti-aid forces in the UK and US. This attack on Oxfam is an attack on the whole charity sector. Hold the fort, Oxfam. I'm sure a lot of us are by your side.",1
"569628646748287_569871413390677","2018-02-13T22:27:47+0000","A few months ago Oxfam released a report on the unfairness of how wealth is distributed around the world. They said 82% of the wealth created last year went to the richest 1 % while the bottom half of the world got nothing! 

Now suddenly they are tangled up in a scandals involving their employees.. this isn't about concern for what happened. Indeed the story was in the public domain somewhat as the charity commission has a whif of it though not all. This is out because Oxfam upset some powerful people with their report and these people are now out to dismantle what is essentially one of the most powerful campaigners for social justice. Someone went digging for the right scandal and they found one. 
If Oxfam goes under there won't be anyone bothering the fat cats conscience... this is the same  things they are doing to the NHS... 

When a Doctor abuses patients the Government doesn't close the hospital, when a head teacher abuses children the Government doesn't withdraw funding from the school nor did we see the BBC deprived of tax cash because of the Jimmy Saville Scandal. Why are people calling for the Government to stop funding Oxfam?",-1
"569628646748287_569873703390448","2018-02-13T22:34:50+0000","I believe in oxfam and this wouldn't affect the gestures as world leading Humanitarian organization that fight injustice and promotes equality.",1
"569628646748287_569875816723570","2018-02-13T22:41:30+0000","The types of people who work for aid agencies are the type who want free adventure, a wage for simi dosing, free travel, free sex from poor people who don`t take action or report. These types would not be able to hold down a job in a factory or office. Its a soft life, they seek fame and are glory holes, Jail the bastards and the ceo`s on 150,000 pounds per year.",-1
"569628646748287_569878560056629","2018-02-13T22:52:37+0000","Taking advantage of vulnerable people is simply not acceptable.",-1
"569628646748287_569882860056199","2018-02-13T23:13:20+0000","Will never get another penny off me.",-1
"569628646748287_569886313389187","2018-02-13T23:29:23+0000","It is sad that this happened to Oxfam, but I admire the honesty, transparency and humility of its leaders.  Very few organisations and leaders are brave enough to admit their problems and weaknesses and crimes committed by their people. Many will resort to ""white washing"" and cover-up just to protect the image of the organization. But Oxfam didn't resort to those options and bravely face the issue and stayed true to their advocacy of protecting women and the vulnerable sectors. And have those who committed the offense accountable so that justice be served to the offended.  Praying for strength for the people of Oxfam who are truly committed and honestly serving the vulnerable sectors of the society.  And may you truly deserve the people that you have and those you will choose to join Oxfam.",1
"569628646748287_569902000054285","2018-02-14T00:38:08+0000","Great statement.
Oxfam will triumph!",1
"569628646748287_569928306718321","2018-02-14T01:53:20+0000","The words ` I resign` seem to be missing from your statement.",-1
